source,trajectory_id,category_unified,category_original,step_number,text_snippet
who_and_when,4dbedc5e1a0205e14b7ff3ba89bce3060dab15d0ada3b7e1351a6f2aa8287aec,unclassified,The agent fails to collect price data for the daily tickets and season passes for California's Great America in 2024.,1,The agent fails to collect price data for the daily tickets and season passes for California's Great
who_and_when,ccec2229ced20a4b0cb4897e3a99120a3017ea030903e01c9bda6b13d40b0b14,code_error,The Python code is incorrect.,3,The Python code is incorrect.
who_and_when,a1e91b78-d3d8-4675-bb8d-62741b4b68a6,resource_abuse,"The agent assumes that the video is available for download, exhausting the step limit.",0,"The agent assumes that the video is available for download, exhausting the step limit."
who_and_when,0ec4371851b96837b0a81b3dd3df401415061bb532fbafeb4609f3337c358508,code_error,"The code is incorrect, as executing it returns no output.",0,"The code is incorrect, as executing it returns no output."
who_and_when,42576abe-0deb-4869-8c63-225c2d75a95a,unclassified,"The reasoning provided by Tizin_Translation_Expert is incorrect, as the accusative case should be used instead of the nominative case when expressing oneself.",1,"The reasoning provided by Tizin_Translation_Expert is incorrect, as the accusative case should be us"
who_and_when,b816bfce-3d80-4913-a07d-69b752ce6377,unclassified,"The code calls the arxiv_search tool; however, using other tools, such as perform_web_search, would be more appropriate because arXiv is primarily academically oriented.",1,"The code calls the arxiv_search tool; however, using other tools, such as perform_web_search, would "
who_and_when,5d0080cb-90d7-4712-bc33-848150e917d3,factual_error,Made an incorrect assumption that the PDF file was available and accessible.,5,Made an incorrect assumption that the PDF file was available and accessible.
who_and_when,557e78eceec08ca8b0da5f9fdaca6e1c7ec6140a8ce600983ee716327dab005e,code_error,The code provided by the BingAPI_Expert is incorrect.,3,The code provided by the BingAPI_Expert is incorrect.
who_and_when,9baaa267c95f9d8b75741ee9169c50563d297cfa592c20deaffd30dbc5984c74,hallucination,"The agent assumes the existence of the file houston_weather_june_2020_2023.csv, which is not provided in the task. The agent should search for the data source and create the file before proceeding with the analysis.",1,"The agent assumes the existence of the file houston_weather_june_2020_2023.csv, which is not provide"
who_and_when,a0c07678-e491-4bbc-8f0b-07405144218f,resource_abuse,"The expert wrote code with bugs multiple times, leading to the exhaustion of the step limits.",5,"The expert wrote code with bugs multiple times, leading to the exhaustion of the step limits."
who_and_when,ed58682d-bc52-4baa-9eb0-4eb81e1edacc,factual_error,The expert made a factual error. Thriller is not a song but an album.,0,The expert made a factual error. Thriller is not a song but an album.
who_and_when,52f7224e9c79431e7926afe317782711a0028750693e7456cde22ef6f4bd8bd5,unclassified,The list of films provided by the Filmography_Expert is incorrect.,1,The list of films provided by the Filmography_Expert is incorrect.
who_and_when,6b06d186921b8b390c65aebd0d16f09f60a47d2f1288ebe36953f734e84c0a3c,code_error,The code provided by the Verification_Expert is unreasonable.,1,The code provided by the Verification_Expert is unreasonable.
who_and_when,8ad84bd6fe38481ba49e7ad1f6fbd43219a999074e5c6fc940003281f55ec65b,unclassified,"The agent incorrectly assumes that there are 20 blocks per mile. According to available sources, in Chicago, one mile consists of 16 east-west blocks or 8 north-south blocks.",1,"The agent incorrectly assumes that there are 20 blocks per mile. According to available sources, in "
who_and_when,6e3be83d1949fa52cba03fb1ce4b5b3bf7e37a83fd7d67694b10b2e439d90cf8,unclassified,"The expert does not verify the schedule; instead, it merely assumes that the schedule is correct.",5,"The expert does not verify the schedule; instead, it merely assumes that the schedule is correct."
who_and_when,f88066d274e265edd6cd9d61cd80a41accb3a14baf2297652fdd05cdf716d455,hallucination,"Instead of browsing the web, the agent fabricates the process of data collection and verification.",7,"Instead of browsing the web, the agent fabricates the process of data collection and verification."
who_and_when,b36ef2d8f2643b80e74a44ce3403f674ecb2aed7fd36afeaa289061a59feef92,unclassified,"The Verification_Expert fails to identify issues with other agents, namely the Fitness_Expert and Local_Knowledge_Expert, who are not providing accurate information. These agents should utilize tools such as Python to obtain the correct data.",6,"The Verification_Expert fails to identify issues with other agents, namely the Fitness_Expert and Lo"
who_and_when,08cae58d-4084-4616-b6dd-dd6534e4825b,code_error,The code provided by FinancialData_Expert is incorrect.,0,The code provided by FinancialData_Expert is incorrect.
who_and_when,8b3379c0-0981-4f5b-8407-6444610cb212,unclassified,The expert did not perform any verifications and instead directly gave the conclusion.,4,The expert did not perform any verifications and instead directly gave the conclusion.
who_and_when,56137764-b4e0-45b8-9c52-1866420c3df5,unclassified,The expert directly reached a conclusion without further verifying the search results. The OpenCV contribution list is incomplete.,3,The expert directly reached a conclusion without further verifying the search results. The OpenCV co
who_and_when,14569e28-c88c-43e4-8c32-097d35b9a67d,unclassified,The question is not related to Python. He misunderstood the problem and failed to solve it.,0,The question is not related to Python. He misunderstood the problem and failed to solve it.
who_and_when,291b53e665b4dd4365cde995042db4a6f6fecef3fe3a6f4482f23d61bd673918,unclassified,The assistant provides an incorrect plan in response to an inaccurate question.,0,The assistant provides an incorrect plan in response to an inaccurate question.
who_and_when,624cbf11-6a41-4692-af9c-36b3e5ca3130,unclassified,"Incorrectly identified the background headstone in the photo of Dastardly Mash as Crème Brulee, leading to the extraction of the wrong last line of the rhyme.",6,"Incorrectly identified the background headstone in the photo of Dastardly Mash as Crème Brulee, lead"
who_and_when,6f224e7730ed027cbac73aebb1aea7f954053082041b02b19f4ff126a0a8a208,code_error,The code is incorrect because it did not import the perform_web_search function.,8,The code is incorrect because it did not import the perform_web_search function.
who_and_when,cca4776df3c73e7f9430a2e624aafad056b14322a0b7ca6c0c22b7e7f3f0890a,unclassified,The expert should continue examining the search results for the remaining board members to finalize the findings.,8,The expert should continue examining the search results for the remaining board members to finalize 
who_and_when,72e110e7-464c-453c-a309-90a95aed6538,code_error,The code is not appropriate for the task.,0,The code is not appropriate for the task.
who_and_when,db4fd70a-2d37-40ea-873f-9433dc5e301f,unclassified,The agent uses its internal knowledge to list the stops on the Franklin-Foxboro line instead of searching for the most accurate and up-to-date information available as of May 2023.,1,The agent uses its internal knowledge to list the stops on the Franklin-Foxboro line instead of sear
who_and_when,73c1b9fe-ee1d-4cf4-96ca-35c08f97b054,code_error,The code provided by SpeciesSightingsData_Expert is incorrect.,1,The code provided by SpeciesSightingsData_Expert is incorrect.
who_and_when,929b45f34805280d77c61d1e093e3d4e551d77ddb6ecd73552b12b1af286388d,unclassified,"The verification process is incorrect. It should provide the most relevant link; instead, it provides a summary of the search results.",6,"The verification process is incorrect. It should provide the most relevant link; instead, it provide"
who_and_when,2aa5dd83fbcd0dce9a3dd4592106e5b5edf738008d932e357d477bba80e59ccf,unclassified,"The Verification_Expert does not question the 0% result, which is highly unusual. It should take responsibility for further verifying the outcome and raising concerns with other agents.",8,"The Verification_Expert does not question the 0% result, which is highly unusual. It should take res"
who_and_when,a9074997e698f912b9e751779ea19c1e92fa148404e90e0ae997acea3f9559b0,unclassified,"The Verification_Expert generates an inaccurate summary of the search results and overlooks the original query, which specifies that the recommendation must come from at least three different individuals with children. By failing to consider children as a prerequisite, this oversight ultimately results in the failure of the task.",5,The Verification_Expert generates an inaccurate summary of the search results and overlooks the orig
who_and_when,e6bc98089608217e45b6956a46518fe3cce64a799b3ac43c6974c449ae14c408,unclassified,"The information provided initially is incorrect, leading to an incorrect conclusion.",0,"The information provided initially is incorrect, leading to an incorrect conclusion."
who_and_when,7619a514-5fa8-43ef-9143-83b66a43d7a4,tool_web_failure,The time of the oldest closed issue is not the same as the time when the 'Regression' label was added to the issue. The agent should have retrieved the event when the label was added to determine the correct date.,8,The time of the oldest closed issue is not the same as the time when the 'Regression' label was adde
who_and_when,114d5fd0-e2ae-4b6d-a65a-870da2d19c08,unclassified,"While obtaining the web link, the expert should download the PDF file and extract the corresponding text. They should not rely on web search to locate specific content within the book.",8,"While obtaining the web link, the expert should download the PDF file and extract the corresponding "
who_and_when,9e31099fffa6a3891c94934fd4fc2f3f522d51c1904ff3561f3a10e4bf245821,resource_abuse,"The CorporateHistory_IPOs_MondayCom_Expert repeatedly writes incorrect code and provides inaccurate information in step 5, leading to a false conclusion.",5,The CorporateHistory_IPOs_MondayCom_Expert repeatedly writes incorrect code and provides inaccurate 
who_and_when,1f975693-876d-457b-a649-393859e79bf3,unclassified,The steps to solve this question are completely irrelevant to the question.,0,The steps to solve this question are completely irrelevant to the question.
who_and_when,57d9dc6935e8a40b02e7f8ec81768fe70e68a0c05f6866927c9fda38db38a486,unclassified,The Tickets_Pricing_Expert provides incorrect ticket prices. The expert should take the necessary steps to obtain accurate information. These inaccuracies result in the failure of subsequent processes.,2,The Tickets_Pricing_Expert provides incorrect ticket prices. The expert should take the necessary st
who_and_when,748899d9d70c09beb3bd48ac8a3658bdcfd2f9114fe6dc4c4b8d2f9541ef4607,unclassified,The assistant provides an incorrect plan in response to an incorrect question.,0,The assistant provides an incorrect plan in response to an incorrect question.
who_and_when,9bdca8677af1e25cb7b0c7992dc62670c3e58e4afcd5ae60bcaa2483556bba00,code_error,The code provided by the Debugging_Expert is incorrect and unrelated to the task.,1,The code provided by the Debugging_Expert is incorrect and unrelated to the task.
who_and_when,840bfca7-4f7b-481a-8794-c560c340185d,tool_web_failure,The WebServing_Expert failed to retrieve useful information from the paper link.,5,The WebServing_Expert failed to retrieve useful information from the paper link.
who_and_when,16d825ff-1623-4176-a5b5-42e0f5c2b0ac,unclassified,"To solve this problem, a web search approach should be used, as there are no attached files for this task. The error occurred because the required tool was not invoked.",0,"To solve this problem, a web search approach should be used, as there are no attached files for this"
who_and_when,797f7a5b65ca28b7e7156e7db1e9f117bd4a021de0cd512bfdbb0be897d89eab,factual_error,"The Vegan_Food_Expert provides information directly without taking the necessary actions, resulting in incorrect information being provided.",8,"The Vegan_Food_Expert provides information directly without taking the necessary actions, resulting "
who_and_when,42d4198c-5895-4f0a-b0c0-424a66465d83,code_error,The agent wrote incorrect code and obtained the wrong result.,3,The agent wrote incorrect code and obtained the wrong result.
who_and_when,2ddae3b7a208e3c25f14d82d7a1faaaa1832fbf950b4dac345e755c4c361f294,unclassified,"The DataAnalysis_Expert generates data to answer the user's question, which is not the correct approach to solving the problem.",7,"The DataAnalysis_Expert generates data to answer the user's question, which is not the correct appro"
who_and_when,c7afe00869f98cf363fd83677ac41757ed5e57f03eacc3d1304feb0a92084bd1,resource_abuse,The Movie_Expert provides an incorrect list of Daniel Craig movies with a duration of less than 150 minutes. The expert should take the necessary steps to obtain accurate information. These inaccuracies result in the failure of subsequent processes and exhaust the step limit.,2,The Movie_Expert provides an incorrect list of Daniel Craig movies with a duration of less than 150 
who_and_when,5f982798-16b9-4051-ab57-cfc7ebdb2a91,tool_web_failure,"WebSurfer's inability to reliably access the requested documents resulted in the overall task failure, as the necessary time span data could not be extracted or compared. This underscores the need for enhanced fallback mechanisms and more robust search strategies.",3,WebSurfer's inability to reliably access the requested documents resulted in the overall task failur
who_and_when,c7afe00869f98cf363fd83677ac41757ed5e57f03eacc3d1304feb0a92084bd1,orchestration_failure,"The Orchestrator should instruct WebSurfer to collect the full list of Daniel Craig's movies on IMDb. Instead, it only displayed 18% of the page, leading the Orchestrator to incorrectly conclude that the movie list was complete.",9,The Orchestrator should instruct WebSurfer to collect the full list of Daniel Craig's movies on IMDb
who_and_when,ebbc1f13-d24d-40df-9068-adcf735b4240,tool_web_failure,"WebSurfer misinterpreted or failed to retrieve the correct Latin root, leading to confusion in identifying the related Spanish word, thereby derailing subsequent steps.",8,"WebSurfer misinterpreted or failed to retrieve the correct Latin root, leading to confusion in ident"
who_and_when,52f7224e9c79431e7926afe317782711a0028750693e7456cde22ef6f4bd8bd5,orchestration_failure,"The Orchestrator should let the Websurfer scroll down to check more movies. Moreover, there are search filters for keywords related to the runtime of the movie, but the agent fails to recognize based on the OCR. This can be achieved by scrolling down to explore further the page.",15,"The Orchestrator should let the Websurfer scroll down to check more movies. Moreover, there are sear"
who_and_when,3af8028c2a59e28ca88baff0e6d91f2a9f170c5ef91003f1c8406755a2760ad4,tool_web_failure,"WebSurfer's query is not concise enough to retrieve complete information to answer the original question, which leads to reaching the maximum time limit.",12,WebSurfer's query is not concise enough to retrieve complete information to answer the original ques
who_and_when,e6bc98089608217e45b6956a46518fe3cce64a799b3ac43c6974c449ae14c408,unclassified,The agent does not verify the information and check whether the highest price of the house is located at Mission Bay. The search result is not accurate.,5,The agent does not verify the information and check whether the highest price of the house is locate
who_and_when,a1e91b78-d3d8-4675-bb8d-62741b4b68a6,tool_web_failure,"The WebSurfer directly reaches a conclusion without performing the correct actions, such as taking a screenshot and extracting the bird species.",8,"The WebSurfer directly reaches a conclusion without performing the correct actions, such as taking a"
who_and_when,08cae58d-4084-4616-b6dd-dd6534e4825b,orchestration_failure,"The page retrieved by WebSurfer does not provide relevant information to address the question, causing the Orchestrator to rely on its own assumptions and make a guess.",4,"The page retrieved by WebSurfer does not provide relevant information to address the question, causi"
who_and_when,ccec2229ced20a4b0cb4897e3a99120a3017ea030903e01c9bda6b13d40b0b14,tool_web_failure,WebSurfer did not retrieve a list of eateries near Harkness Memorial State Park sorted by distance and operating hours. The keyword it entered was insufficient.,8,WebSurfer did not retrieve a list of eateries near Harkness Memorial State Park sorted by distance a
who_and_when,6b06d186921b8b390c65aebd0d16f09f60a47d2f1288ebe36953f734e84c0a3c,tool_web_failure,"WebSurfer makes two mistakes in this step, leading to failure. 1. It does not include the '2+ bathrooms' criterion in the search, resulting in invalid results. 2. It directly reaches a wrong conclusion by using intermediate search results.",16,"WebSurfer makes two mistakes in this step, leading to failure. 1. It does not include the '2+ bathro"
who_and_when,8b3379c0-0981-4f5b-8407-6444610cb212,unclassified,The key word should include Monterey Bay Aquarium website.,4,The key word should include Monterey Bay Aquarium website.
who_and_when,840bfca7-4f7b-481a-8794-c560c340185d,tool_web_failure,"WebSurfer encountered difficulties in locating and accessing the acknowledgment section of the paper, causing a delay in identifying the NASA award number associated with R.G. Arendt.",4,WebSurfer encountered difficulties in locating and accessing the acknowledgment section of the paper
who_and_when,0a3cd321-3e76-4622-911b-0fda2e5d6b1a,orchestration_failure,The Orchestrator writes incorrect code.,51,The Orchestrator writes incorrect code.
who_and_when,8ad84bd6fe38481ba49e7ad1f6fbd43219a999074e5c6fc940003281f55ec65b,orchestration_failure,"The Orchestrator should not directly decide to check other criteria. In fact, WebSurfer did not provide a full list of supermarkets in the previous step.",9,"The Orchestrator should not directly decide to check other criteria. In fact, WebSurfer did not prov"
who_and_when,1f975693-876d-457b-a649-393859e79bf3,unclassified,"The agent should provide a transcription of the audio file to extract the page numbers, but it failed to transcribe the audio.",5,"The agent should provide a transcription of the audio file to extract the page numbers, but it faile"
who_and_when,114d5fd0-e2ae-4b6d-a65a-870da2d19c08,tool_web_failure,FileSurfer didn't correctly extract the relevant information but directly gave a wrong answer.,32,FileSurfer didn't correctly extract the relevant information but directly gave a wrong answer.
who_and_when,2ddae3b7a208e3c25f14d82d7a1faaaa1832fbf950b4dac345e755c4c361f294,orchestration_failure,"Assistant naviagtes the agents group to a wrong direction - contacting the offices for the result. Instead, the agents should solve the problems by themselves.",82,Assistant naviagtes the agents group to a wrong direction - contacting the offices for the result. I
who_and_when,0ec4371851b96837b0a81b3dd3df401415061bb532fbafeb4609f3337c358508,orchestration_failure,"The list of gyms within 5 miles of 400 Main Street, Point Pleasant, WV 25550 is actually not shown in full at step 8. The Orchestrator then decides to search them one by one but does not confirm whether the list is complete.",9,"The list of gyms within 5 miles of 400 Main Street, Point Pleasant, WV 25550 is actually not shown i"
who_and_when,5d0080cb-90d7-4712-bc33-848150e917d3,tool_web_failure,WebSurfer failed to locate the specific volume in the University of Leicester paper due to incomplete data retrieval from the journal's website and insufficient progress in analyzing the full PDF.,4,WebSurfer failed to locate the specific volume in the University of Leicester paper due to incomplet
who_and_when,6e3be83d1949fa52cba03fb1ce4b5b3bf7e37a83fd7d67694b10b2e439d90cf8,tool_web_failure,WebSurfer clicks on an irrelevant website and disrupts the task-solving process.,12,WebSurfer clicks on an irrelevant website and disrupts the task-solving process.
who_and_when,797f7a5b65ca28b7e7156e7db1e9f117bd4a021de0cd512bfdbb0be897d89eab,unclassified,The information it obtains is incorrect.,5,The information it obtains is incorrect.
who_and_when,624cbf11-6a41-4692-af9c-36b3e5ca3130,unclassified,The agent should recognize that the website has clickable and expandable tabs containing the full rhyme for each flavor.,24,The agent should recognize that the website has clickable and expandable tabs containing the full rh
