error_id,name_ru,description_ru,source,source_label,modeling_class,modeling_class_reason,n_trajectories_with_error,n_trajectories_total,p_trajectory,p_traj_ci_lower,p_traj_ci_upper,total_steps,p_message,p_msg_ci_lower,p_msg_ci_upper,step_mean,step_median,step_std,step_n,step_p25,step_p75,step_p90,best_distribution,best_dist_params,best_dist_ks_p,fit_conclusion,data_quality,insufficient_data
code_error,Ошибка в коде,Агент сгенерировал синтаксически или логически неверный код,trail,"TRAIL (GAIA + SWE-bench Lite, 2024)",Категория 3,Статистическое: задаётся распределением,74.0,143.0,0.517483,0.436201,0.59785,4544.0,0.043354,0.037808,0.049671,29.6,23.0,22.8,197.0,12.0,37.0,51.0,beta,"a=1.3830, b=1.3767, loc=0.1210, scale=0.8637",0.6676,beta подтверждён (p=0.6675),high,False
hallucination,Галлюцинация,"Агент выдумал факты, данные или ссылки",trail,"TRAIL (GAIA + SWE-bench Lite, 2024)",Категория 1,Требует воспроизведения LLM-рассуждений,83.0,143.0,0.58042,0.498468,0.658163,4544.0,0.023107,0.019125,0.027895,22.99,13.0,23.24,105.0,9.0,30.0,52.0,lognorm,"s=0.7251, loc=0.0000, scale=16.7880",0.0011,"lognorm отвергнут (p=0.0011), lognorm",high,False
instruction_adherence_failure,Несоблюдение инструкций,Агент не выполнил инструкцию оркестратора или пользователя,trail,"TRAIL (GAIA + SWE-bench Lite, 2024)",Категория 1,Требует воспроизведения LLM-рассуждений,77.0,143.0,0.538462,0.456816,0.618095,4544.0,0.034111,0.029214,0.039795,18.6,13.0,14.26,154.0,9.0,25.0,37.0,gamma,"shape=2.4012, loc=0.0000, scale=7.7450",0.0015,"gamma отвергнут (p=0.0015), gamma",high,False
invalid_invocation,Некорректный вызов инструмента,Агент вызвал инструмент с неверными параметрами,trail,"TRAIL (GAIA + SWE-bench Lite, 2024)",Категория 3,Статистическое: задаётся распределением,10.0,143.0,0.06993,0.038425,0.123938,4544.0,0.002421,0.001352,0.00433,26.55,12.0,39.27,11.0,10.5,15.0,39.0,,,,,high,True
kv_cache_loss,Потеря KV-кэша,Потеря кэша ключей-значений после перезапуска модуля или вытеснения из памяти GPU,trail,"TRAIL (GAIA + SWE-bench Lite, 2024)",Категория 2,Известно как моделировать через IR-блок,44.0,143.0,0.307692,0.237902,0.387544,4544.0,0.010783,0.008167,0.014227,34.51,32.0,21.38,49.0,18.0,44.0,57.2,gamma,"shape=2.8675, loc=0.0000, scale=12.0348",0.9389,gamma подтверждён (p=0.9389),high,False
misinterpretation_of_tool_output,Неверная интерпретация результата,Агент неправильно понял вывод инструмента,trail,"TRAIL (GAIA + SWE-bench Lite, 2024)",Категория 3,Статистическое: задаётся распределением,40.0,143.0,0.27972,0.212654,0.358313,4544.0,0.012544,0.009695,0.016217,31.14,21.0,25.51,57.0,17.0,35.0,71.2,beta,"a=0.9203, b=0.6937, loc=0.1050, scale=0.8533",0.4944,beta подтверждён (p=0.4944),high,False
orchestration_failure,Сбой оркестрации,"Неверная маршрутизация задачи, ошибочное решение о следующем шаге",trail,"TRAIL (GAIA + SWE-bench Lite, 2024)",Категория 3,Статистическое: задаётся распределением,92.0,143.0,0.643357,0.562038,0.717174,4544.0,0.040933,0.035549,0.047092,16.25,9.0,14.81,185.0,9.0,17.0,34.0,exponential,"loc=7.0000, scale=9.2541",0.0,"exponential отвергнут (p=0.0000), exponential",high,False
resource_abuse,Избыточное потребление ресурсов,"Исчерпание лимита шагов, зацикливание агента, чрезмерное потребление ресурсов",trail,"TRAIL (GAIA + SWE-bench Lite, 2024)",Категория 3,Статистическое: задаётся распределением,45.0,143.0,0.314685,0.244264,0.394803,4544.0,0.013204,0.010272,0.016958,27.45,22.0,17.56,60.0,15.0,38.0,52.0,beta,"a=1.1192, b=0.7700, loc=0.0925, scale=0.8205",0.8381,beta подтверждён (p=0.8381),high,False
resource_not_found,Ресурс не найден,"Файл, директория или запрашиваемый ресурс не существует в среде выполнения",trail,"TRAIL (GAIA + SWE-bench Lite, 2024)",Категория 3,Статистическое: задаётся распределением,4.0,143.0,0.027972,0.01093,0.069712,4544.0,0.00154,0.000746,0.003177,56.29,46.0,40.28,7.0,33.0,58.5,95.2,,,,,high,True
system_failure,Системный сбой,Критический сбой инфраструктуры выполнения,trail,"TRAIL (GAIA + SWE-bench Lite, 2024)",Категория 3,Статистическое: задаётся распределением,2.0,143.0,0.013986,0.003844,0.049558,4544.0,0.00044,0.000121,0.001604,,,,,,,,,,,,high,True
