category,source,position_type,distribution,params,ks_statistic,ks_pvalue,low_confidence,ks_warning,mm_lambda
instruction_adherence_failure,agentRx,absolute,exponential,"3.0000, 50.3744",0.116829,0.007174,False,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки. λ̂_MLE=0.018736, λ̂_MM=0.018736. Близки, дополнительное подтверждение.",0.018736
instruction_adherence_failure,agentRx,absolute,weibull_min,"1.4881, 0.0000, 58.9217",0.065246,0.338459,False,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
instruction_adherence_failure,agentRx,absolute,lognorm,"0.8931, 0.0000, 39.1890",0.118451,0.006132,False,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
instruction_adherence_failure,agentRx,normalized,exponential,"0.0385, 0.4579",0.17011,1.9e-05,False,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
instruction_adherence_failure,agentRx,normalized,weibull_min,"1.9614, 0.0000, 0.5586",0.071254,0.25746,False,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
instruction_adherence_failure,agentRx,normalized,lognorm,"0.7099, 0.0000, 0.4076",0.112605,0.012443,False,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
instruction_adherence_failure,agentRx,normalized,beta,"1.0515, 1.1389, 0.0381, 0.9562",0.032058,0.983578,False,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
instruction_adherence_failure,agentRx,normalized,uniform,"0.0385, 0.9538",0.06282,0.401938,False,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
unclassified,who_and_when,absolute,exponential,"0.0000, 5.2471",0.179418,0.007261,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки. λ̂_MLE=0.190583, λ̂_MM=0.190583. Близки, дополнительное подтверждение.",0.190583
unclassified,who_and_when,absolute,weibull_min,"1.0082, 0.0000, 5.2782",0.182477,0.005989,True,"параметры оценены по тем же данным → p-value KS-теста завышен (сложная гипотеза, §2.2.4 Буре). Результат теста не является строгим подтверждением подгонки.",
