error_id,name_ru,description_ru,source,modeling_class,modeling_class_reason_ru,n_trajectories_with_error,n_trajectories_total,p_trajectory,p_traj_ci_lower,p_traj_ci_upper,total_steps,p_message,p_msg_ci_lower,p_msg_ci_upper,step_mean,step_median,step_std,step_n,best_distribution,best_dist_params,best_dist_ks_p,fit_conclusion_ru,data_quality_ru,insufficient_data,plots
code_error,Ошибка в коде,Агент сгенерировал синтаксически или логически неверный код,trail,Категория 1,Корректность кода определяется внутренним состоянием LLM. Нельзя инжектировать без прогона модели,74.0,143.0,0.517483,0.436201,0.59785,4544.0,0.043354,0.037808,0.049671,29.6,23.0,22.8,197.0,beta,"a=1.3830, b=1.3767, loc=0.1210, scale=0.8637",0.6676,подгонка формально не отклонена,экспертная разметка,частично,hist_code_error_trail.png;qq_code_error_trail.png
hallucination,Галлюцинация,"Агент выдумал факты, данные или ссылки",trail,Категория 1,Галлюцинация требует полного выполнения LLM,83.0,143.0,0.58042,0.498468,0.658163,4544.0,0.023107,0.019125,0.027895,22.99,13.0,23.24,105.0,lognorm,"s=0.7251, loc=0.0000, scale=16.7880",0.0011,параметрическое не подходит,экспертная разметка,частично,hist_hallucination_trail.png
instruction_adherence_failure,Несоблюдение инструкций,Агент не выполнил инструкцию оркестратора или пользователя,trail,Категория 1,Требует полного рассуждения LLM; нельзя инжектировать структурно,77.0,143.0,0.538462,0.456816,0.618095,4544.0,0.034111,0.029214,0.039795,18.6,13.0,14.26,154.0,gamma,"shape=2.4012, loc=0.0000, scale=7.7450",0.0015,параметрическое не подходит,экспертная разметка,частично,hist_instruction_adherence_failure_trail.png
invalid_invocation,Некорректный вызов инструмента,Агент вызвал инструмент с неверными параметрами,trail,Категория 3,Моделируется как вероятностный отказ вызова инструмента,10.0,143.0,0.06993,0.038425,0.123938,4544.0,0.002421,0.001352,0.00433,26.55,12.0,39.27,11.0,,,,недостаточно данных,экспертная разметка,недостаточно,
kv_cache_loss,Потеря KV-кэша,Потеря кэша ключей-значений после перезапуска модуля или вытеснения из памяти GPU,trail,Категория 2,Моделируется напрямую: удаление кэшированного состояния в IR-блоке,44.0,143.0,0.307692,0.237902,0.387544,4544.0,0.010783,0.008167,0.014227,34.51,32.0,21.38,49.0,gamma,"shape=2.8675, loc=0.0000, scale=12.0348",0.9389,недостаточно данных,экспертная разметка,недостаточно,hist_kv_cache_loss_trail.png;qq_kv_cache_loss_trail.png
misinterpretation_of_tool_output,Неверная интерпретация результата,Агент неправильно понял вывод инструмента,trail,Категория 1,Семантическая интерпретация требует рассуждения LLM,40.0,143.0,0.27972,0.212654,0.358313,4544.0,0.012544,0.009695,0.016217,31.14,21.0,25.51,57.0,beta,"a=0.9203, b=0.6937, loc=0.1050, scale=0.8533",0.4944,недостаточно данных,экспертная разметка,недостаточно,hist_misinterpretation_of_tool_output_trail.png;qq_misinterpretation_of_tool_output_trail.png
orchestration_failure,Сбой оркестрации,"Неверная маршрутизация задачи, ошибочное решение о следующем шаге",trail,Категория 1,Решения о маршрутизации определяются рассуждением LLM,92.0,143.0,0.643357,0.562038,0.717174,4544.0,0.040933,0.035549,0.047092,16.25,9.0,14.81,185.0,exponential,"loc=7.0000, scale=9.2541",0.0,параметрическое не подходит,экспертная разметка,частично,hist_orchestration_failure_trail.png
resource_abuse,Избыточное потребление ресурсов,"Исчерпание лимита шагов, зацикливание агента, чрезмерное потребление ресурсов",trail,Категория 3,Частота и распределение по шагам оцениваются статистически,45.0,143.0,0.314685,0.244264,0.394803,4544.0,0.013204,0.010272,0.016958,27.45,22.0,17.56,60.0,beta,"a=1.1192, b=0.7700, loc=0.0925, scale=0.8205",0.8381,недостаточно данных,экспертная разметка,недостаточно,hist_resource_abuse_trail.png;qq_resource_abuse_trail.png
resource_not_found,Ресурс не найден,"Файл, директория или запрашиваемый ресурс не существует в среде выполнения",trail,Категория 3,Частота оценивается статистически; эффект — отказ на уровне шага,4.0,143.0,0.027972,0.01093,0.069712,4544.0,0.00154,0.000746,0.003177,56.29,46.0,40.28,7.0,,,,недостаточно данных,экспертная разметка,недостаточно,
system_failure,Системный сбой,Критический сбой инфраструктуры выполнения,trail,Категория 3,Моделируется как вероятностный жёсткий отказ,2.0,143.0,0.013986,0.003844,0.049558,4544.0,0.00044,0.000121,0.001604,,,,,,,,недостаточно данных,экспертная разметка,неизвестно,
tool_timeout,Таймаут вызова инструмента,Внешний инструмент или shell-команда не ответили за отведённое время,trail,Категория 3,Моделируется как вероятностная задержка/отказ на блоках вызова инструментов,2.0,143.0,0.013986,0.003844,0.049558,4544.0,0.00044,0.000121,0.001604,,,,,,,,недостаточно данных,экспертная разметка,неизвестно,
tool_web_failure,Сбой доступа к веб-ресурсу,HTTP-ошибка при обращении к внешнему API или веб-сервису,trail,Категория 3,Частота оценивается статистически; эффект — отказ на уровне шага,5.0,143.0,0.034965,0.015026,0.079237,4544.0,0.0011,0.00047,0.002573,29.2,24.0,18.5,5.0,,,,недостаточно данных,экспертная разметка,недостаточно,
guardrails_triggered,Срабатывание защитных ограничений,Внешний сервис заблокировал запрос агента,magentic_one,Категория 3,Частота оценивается статистически; эффект — отказ на уровне шага,23.0,44.0,0.522727,0.379352,0.662452,,,,,40.21,27.0,33.61,24.0,lognorm,"s=0.8879, loc=0.0000, scale=28.1013",0.9923,недостаточно данных,аннотация на уровне шагов,недостаточно,hist_guardrails_triggered_magentic_one.png;qq_guardrails_triggered_magentic_one.png
instruction_adherence_failure,Несоблюдение инструкций,Агент не выполнил инструкцию оркестратора или пользователя,magentic_one,Категория 1,Требует полного рассуждения LLM; нельзя инжектировать структурно,25.0,44.0,0.568182,0.422239,0.703175,,,,,54.38,52.0,34.99,197.0,weibull_min,"shape=1.5290, loc=0.0000, scale=60.2471",0.3425,подгонка формально не отклонена,аннотация на уровне шагов,частично,hist_instruction_adherence_failure_magentic_one.png;qq_instruction_adherence_failure_magentic_one.png
intent_not_supported,Неподдерживаемое намерение,Агент не способен выполнить запрошенное действие,magentic_one,Категория 1,Зависит от оценки возможностей LLM,5.0,44.0,0.113636,0.049527,0.239794,,,,,45.82,24.0,39.34,22.0,lomax,"c=9577552363439.9043, loc=0.0000, scale=438826030106679.3750",0.3979,недостаточно данных,аннотация на уровне шагов,недостаточно,hist_intent_not_supported_magentic_one.png;qq_intent_not_supported_magentic_one.png
intent_plan_misalignment,Несоответствие намерения и плана,Агент составил план не соответствующий задаче,magentic_one,Категория 1,Отклонение от цели требует понимания LLM,7.0,44.0,0.159091,0.079266,0.293665,,,,,68.79,78.0,39.49,19.0,,,,недостаточно данных,аннотация на уровне шагов,недостаточно,
invalid_invocation,Некорректный вызов инструмента,Агент вызвал инструмент с неверными параметрами,magentic_one,Категория 3,Моделируется как вероятностный отказ вызова инструмента,1.0,44.0,0.022727,0.004023,0.11808,,,,,,,,,,,,недостаточно данных,аннотация на уровне шагов,неизвестно,
invention_of_new_information,Изобретение информации,"Агент выдумал данные, которых не было в источниках",magentic_one,Категория 1,Галлюцинация требует полного выполнения LLM,5.0,44.0,0.113636,0.049527,0.239794,,,,,38.12,26.0,34.61,8.0,,,,недостаточно данных,аннотация на уровне шагов,недостаточно,
misinterpretation_of_tool_output,Неверная интерпретация результата,Агент неправильно понял вывод инструмента,magentic_one,Категория 1,Семантическая интерпретация требует рассуждения LLM,17.0,44.0,0.386364,0.25721,0.533767,,,,,14.57,11.0,8.04,23.0,gamma,"shape=3.2242, loc=0.0000, scale=4.5175",0.7377,недостаточно данных,аннотация на уровне шагов,недостаточно,hist_misinterpretation_of_tool_output_magentic_one.png;qq_misinterpretation_of_tool_output_magentic_one.png
system_failure,Системный сбой,Критический сбой инфраструктуры выполнения,magentic_one,Категория 3,Моделируется как вероятностный жёсткий отказ,1.0,44.0,0.022727,0.004023,0.11808,,,,,,,,,,,,недостаточно данных,аннотация на уровне шагов,неизвестно,
instruction_adherence_failure,Несоблюдение инструкций,Агент не выполнил инструкцию оркестратора или пользователя,tau_retail,Категория 1,Требует полного рассуждения LLM; нельзя инжектировать структурно,6.0,29.0,0.206897,0.098459,0.383904,,,,,20.33,20.0,14.41,6.0,,,,недостаточно данных,аннотация на уровне шагов,недостаточно,
intent_not_supported,Неподдерживаемое намерение,Агент не способен выполнить запрошенное действие,tau_retail,Категория 1,Зависит от оценки возможностей LLM,2.0,29.0,0.068966,0.019121,0.219649,,,,,,,,,,,,недостаточно данных,аннотация на уровне шагов,неизвестно,
intent_plan_misalignment,Несоответствие намерения и плана,Агент составил план не соответствующий задаче. Ошибка декомпозиции: приоритеты расставлены неверно,tau_retail,Категория 1,Отклонение от цели требует понимания LLM,8.0,29.0,0.275862,0.146986,0.457175,,,,,25.5,24.0,7.12,8.0,,,,недостаточно данных,аннотация на уровне шагов,недостаточно,
invalid_invocation,Некорректный вызов инструмента,Агент вызвал инструмент с неверными параметрами или в неправильном контексте,tau_retail,Категория 3,Моделируется как вероятностный отказ вызова инструмента,2.0,29.0,0.068966,0.019121,0.219649,,,,,,,,,,,,недостаточно данных,аннотация на уровне шагов,неизвестно,
misinterpretation_of_tool_output,Неверная интерпретация результата,Агент неправильно понял вывод инструмента или результат shell-команды,tau_retail,Категория 3,Семантическая интерпретация требует рассуждения LLM,7.0,29.0,0.241379,0.122183,0.42108,,,,,24.5,18.0,17.26,8.0,,,,недостаточно данных,аннотация на уровне шагов,недостаточно,
system_failure,Системный сбой,Критический сбой инфраструктуры выполнения. Среда не отвечает,tau_retail,Категория 3,Моделируется как вероятностный жёсткий отказ,1.0,29.0,0.034483,0.006113,0.171759,,,,,,,,,,,,недостаточно данных,аннотация на уровне шагов,неизвестно,
underspecified_user_intent,Недоопределённое намерение,Запрос пользователя слишком неточен для выполнения,tau_retail,Категория 1,Разрешение неоднозначности зависит от рассуждения LLM,10.0,29.0,0.344828,0.199405,0.526552,,,,,25.8,26.0,6.16,10.0,,,,недостаточно данных,аннотация на уровне шагов,недостаточно,
code_error,Ошибка в коде,Агент сгенерировал синтаксически или логически неверный код,who_and_when_hc,Категория 3,Корректность кода зависит от генерации LLM,11.0,46.0,0.23913,0.13912,0.379354,2394.0,0.004595,0.002568,0.008209,3.09,1.0,4.1,11.0,,,,недостаточно данных,keyword matching,недостаточно,
factual_error,Фактическая ошибка,Агент использовал неверные факты из своих знаний,who_and_when_hc,Категория 1,Фактическая корректность зависит от знаний LLM,4.0,46.0,0.086957,0.034335,0.203249,2394.0,0.001671,0.00065,0.004289,,,,,,,,недостаточно данных,keyword matching,неизвестно,
hallucination,Галлюцинация,"Агент выдумал факты, данные или ссылки",who_and_when_hc,Категория 1,Галлюцинация требует полного выполнения LLM,2.0,46.0,0.043478,0.012005,0.145325,2394.0,0.000835,0.000229,0.003041,,,,,,,,недостаточно данных,keyword matching,неизвестно,
orchestration_failure,Сбой оркестрации,"Неверная маршрутизация задачи, ошибочное решение о следующем шаге",who_and_when_hc,Категория 3,Решения о маршрутизации требуют рассуждения LLM,16.0,46.0,0.347826,0.226808,0.492302,2394.0,0.006683,0.004118,0.010829,21.31,13.5,21.51,16.0,,,,недостаточно данных,keyword matching,недостаточно,
resource_abuse,Избыточное потребление ресурсов,"Исчерпание лимита шагов, зацикливание агента, чрезмерное потребление ресурсов",who_and_when_hc,Категория 3,Частота и распределение по шагам оцениваются статистически,5.0,46.0,0.108696,0.047331,0.230381,2394.0,0.002089,0.000892,0.00488,6.0,5.0,6.29,5.0,,,,недостаточно данных,keyword matching,недостаточно,
tool_web_failure,Сбой доступа к веб-ресурсу,HTTP-ошибка при обращении к внешнему API или веб-сервису,who_and_when_hc,Категория 3,Частота оценивается статистически; эффект — отказ на уровне шага,23.0,46.0,0.5,0.361187,0.638813,2394.0,0.010025,0.006746,0.014874,11.29,8.0,9.31,24.0,lognorm,"s=0.9811, loc=0.0000, scale=0.2439",0.9839,недостаточно данных,keyword matching,недостаточно,hist_tool_web_failure_who_and_when_hc.png;qq_tool_web_failure_who_and_when_hc.png
tool_web_failure,Сбой доступа к веб-ресурсу,HTTP-ошибка при обращении к внешнему API или веб-сервису,keyword_search_nebius,Категория 3,Частота оценивается статистически; эффект — отказ на уровне шага,26379.0,80036.0,0.329589,0.326341,0.332854,4311283.0,0.022469,0.022329,0.022609,19.41,14.0,29.86,26379.0,exponential,"loc=0.0000, scale=19.4100",0.0,параметрическое не подходит,keyword search в траекториях,достаточно,hist_tool_web_failure_keyword_search_nebius.png
resource_not_found,Ресурс не найден,"Файл, директория или запрашиваемый ресурс не существует в среде выполнения",keyword_search_nebius,Категория 3,Частота оценивается статистически; эффект — отказ на уровне шага,33565.0,80036.0,0.419374,0.415959,0.422796,4311283.0,0.049727,0.049522,0.049933,13.19,10.0,12.01,33565.0,exponential,"loc=0.0000, scale=13.1900",0.0,параметрическое не подходит,keyword search в траекториях,достаточно,hist_resource_not_found_keyword_search_nebius.png
tool_timeout,Таймаут вызова инструмента,Внешний инструмент или shell-команда не ответили за отведённое время,keyword_search_itbench,Категория 3,Моделируется как вероятностная задержка/отказ на блоках вызова инструментов,80.0,105.0,0.761905,0.672111,0.83321,19292.0,0.094288,0.090244,0.098493,45.16,47.5,29.34,80.0,,,,недостаточно данных,keyword search в траекториях,недостаточно,hist_tool_timeout_keyword_search_itbench.png;qq_tool_timeout_keyword_search_itbench.png
permission_error,Ошибка доступа,"Отказ в доступе к файлу, директории или сервису из-за недостаточных прав",keyword_search_terminalbench,Категория 3,Частота оценивается статистически; эффект — отказ на уровне шага,267.0,52104.0,0.005124,0.004547,0.005775,1622075.0,0.000409,0.000379,0.000441,18.52,11.0,20.95,267.0,,,,подгонка формально не отклонена,keyword search в траекториях,частично,hist_permission_error_keyword_search_terminalbench.png
memory_error,Ошибка памяти (OOM),Нехватка оперативной памяти при выполнении вычислительной задачи,keyword_search_terminalbench,Категория 3,Частота оценивается статистически; эффект — отказ на уровне шага,1750.0,52104.0,0.033587,0.032074,0.035168,1622075.0,0.012443,0.012274,0.012615,20.38,10.0,32.82,1750.0,,,,подгонка формально не отклонена,keyword search в траекториях,частично,hist_memory_error_keyword_search_terminalbench.png
hardware_degradation,Деградация оборудования,Постепенное ухудшение характеристик оборудования со временем,теоретическая,Категория 4,Симулятор не рассчитан на долгосрочную деградацию оборудования,,,,,,,,,,,,,,,,,нет данных,нет данных,неизвестно,
gpu_throttling,Троттлинг GPU,Снижение частот GPU из-за перегрева,теоретическая,Категория 4,Редко в крупных кластерах; вне области применения,,,,,,,,,,,,,,,,,нет данных,нет данных,неизвестно,
correlated_ssd_failure,Коррелированные сбои SSD,Одновременные отказы нескольких накопителей в стойке,теоретическая,Категория 4,Уровень инфраструктуры; вне области агентных траекторий,,,,,,,,,,,,,,,,,нет данных,нет данных,неизвестно,
network_power_failure,Сетевые и электросбои,Отказ сетевой инфраструктуры или электропитания,теоретическая,Категория 4,Уровень инфраструктуры; вне области агентных траекторий,,,,,,,,,,,,,,,,,нет данных,нет данных,неизвестно,
bad_retry_policy,Неверная политика повторов,Некорректные параметры backoff/jitter вызывают retry storm,теоретическая,Категория 2,Моделируется параметрами политики повторов в IR-блоках,,,,,,,,,,,,,,,,,нет данных,нет данных,неизвестно,
kv_transfer_failure,Сбой передачи KV-кэша,Ошибка при передаче кэша между узлами кластера,теоретическая,Категория 2,Моделируется как отказ передачи состояния в IR-графе,,,,,,,,,,,,,,,,,нет данных,нет данных,неизвестно,
memory_bandwidth_bottleneck,Узкое место пропускной способности памяти,Конкуренция запросов за HBM снижает производительность,теоретическая,Категория 2,Моделируется как снижение пропускной способности на блоках инференса,,,,,,,,,,,,,,,,,нет данных,нет данных,неизвестно,
